






min: -903337057289552960,max: -903152589848815865
min: -903521524730290056,max: -903337057289552961
min: -903705992171027152,max: -903521524730290057
min: -903890459611764248,max: -903705992171027153
min: -903152589848815864,max: -902968122408078769
min: -902968122408078768,max: -902783654967341673
min: -902783654967341672,max: -902599187526604577
min: -902599187526604576,max: -902414720085867481
min: -902414720085867480,max: -902230252645130385
min: -902230252645130384,max: -902045785204393293
min: 4377412368691282780,max: 4377596836132019875
min: 4377596836132019876,max: 4377781303572756971
min: 4377781303572756972,max: 4377965771013494067
min: 4377965771013494068,max: 4378150238454231163
min: 4378150238454231164,max: 4378334705894968259
min: 4378334705894968260,max: 4378519173335705355
min: 4378519173335705356,max: 4378703640776442451
min: 4378703640776442452,max: 4378888108217179547
min: 4378888108217179548,max: 4379072575657916643
min: 4379072575657916644,max: 4379257043098653735
min: 6384418123910882908,max: 6384602591351620003
min: 6384602591351620004,max: 6384787058792357099
min: 6384787058792357100,max: 6384971526233094195
min: 6384971526233094196,max: 6385155993673831291
min: 6385155993673831292,max: 6385340461114568387
min: 6385340461114568388,max: 6385524928555305483
min: 6385524928555305484,max: 6385709395996042579
min: 6385709395996042580,max: 6385893863436779675
min: 6385893863436779676,max: 6386078330877516771
min: 6386078330877516772,max: 6386262798318253863
min: 4148672742177284236,max: 4148857209618021331
min: 4148857209618021332,max: 4149041677058758427
min: 4149041677058758428,max: 4149226144499495523
min: 4149226144499495524,max: 4149410611940232619
min: 4149410611940232620,max: 4149595079380969715
min: 4149595079380969716,max: 4149779546821706811
min: 4149779546821706812,max: 4149964014262443907
min: 4149964014262443908,max: 4150148481703181003
min: 4150148481703181004,max: 4150332949143918099
min: 4150332949143918100,max: 4150517416584655191
min: 1542147804562123408,max: 1542332272002860503
min: 1542332272002860504,max: 1542516739443597599
min: 1542516739443597600,max: 1542701206884334695
min: 1542701206884334696,max: 1542885674325071791
min: 1542885674325071792,max: 1543070141765808887
min: 1543070141765808888,max: 1543254609206545983
min: 1543254609206545984,max: 1543439076647283079
min: 1543439076647283080,max: 1543623544088020175
min: 1543623544088020176,max: 1543808011528757271
min: 1543808011528757272,max: 1543992478969494363
min: -7950546695768816168,max: -7950362228328079073
min: -7950362228328079072,max: -7950177760887341977
min: -7950177760887341976,max: -7949993293446604881
min: -7949993293446604880,max: -7949808826005867785
